Date,Open,High,Low,Close,Ticker,,
2022-11-11,18272.34961,18362.30078,18259.34961,18349.69922,NSEI,,
2022-11-14,18376.40039,18399.44922,18311.40039,18329.15039,NSEI,,
2022-11-15,18362.75,18427.94922,18282,18403.40039,NSEI,,
2022-11-16,18398.25,18442.15039,18344.15039,18409.65039,NSEI,,
2022-11-17,18358.69922,18417.59961,18312.94922,18343.90039,NSEI,,
2022-11-18,18382.94922,18394.59961,18209.80078,18307.65039,NSEI,,
2022-11-21,18246.40039,18262.30078,18133.34961,18159.94922,NSEI,,
2022-11-22,18179.15039,18261.84961,18137.69922,18244.19922,NSEI,,
2022-11-23,18325.19922,18325.40039,18246,18267.25,NSEI,,
2022-11-24,18326.09961,18529.69922,18294.25,18484.09961,NSEI,,
2022-11-25,18528.44922,18534.90039,18445.09961,18512.75,NSEI,,
2022-11-28,18430.55078,18614.25,18365.59961,18562.75,NSEI,,
2022-11-29,18552.44922,18678.09961,18552.15039,18618.05078,NSEI,,
2022-11-30,18625.69922,18816.05078,18616.55078,18758.34961,NSEI,,
2022-12-01,18871.94922,18887.59961,18778.19922,18812.5,NSEI,,
2022-12-02,18752.40039,18781.94922,18639.19922,18696.09961,NSEI,,
2022-12-05,18719.55078,18728.59961,18591.34961,18701.05078,NSEI,,
2022-12-06,18600.65039,18654.90039,18577.90039,18642.75,NSEI,,
2022-12-07,18638.84961,18668.30078,18528.40039,18560.5,NSEI,,
2022-12-08,18570.84961,18625,18536.94922,18609.34961,NSEI,,
2022-12-09,18662.40039,18664.69922,18410.09961,18496.59961,NSEI,,
2022-12-12,18402.15039,18521.55078,18345.69922,18497.15039,NSEI,,
2022-12-13,18524.40039,18617.25,18490.19922,18608,NSEI,,
2022-12-14,18671.25,18696.09961,18632.90039,18660.30078,NSEI,,
2022-12-15,18614.40039,18652.90039,18387.69922,18414.90039,NSEI,,
2022-12-16,18319.09961,18440.94922,18255.15039,18269,NSEI,,
2022-12-19,18288.09961,18431.65039,18244.55078,18420.44922,NSEI,,
2022-12-20,18340.30078,18404.90039,18202.65039,18385.30078,NSEI,,
2022-12-21,18435.15039,18473.34961,18162.75,18199.09961,NSEI,,
2022-12-22,18288.80078,18318.75,18068.59961,18127.34961,NSEI,,
2022-12-23,17977.65039,18050.44922,17779.5,17806.80078,NSEI,,
2022-12-26,17830.40039,18084.09961,17774.25,18014.59961,NSEI,,
2022-12-27,18089.80078,18149.25,17967.44922,18132.30078,NSEI,,
2022-12-28,18084.75,18173.09961,18068.34961,18122.5,NSEI,,
2022-12-29,18045.69922,18229.69922,17992.80078,18191,NSEI,,
2022-12-30,18259.09961,18265.25,18080.30078,18105.30078,NSEI,,
2023-01-02,18131.69922,18215.15039,18086.5,18197.44922,NSEI,,
2023-01-03,18163.19922,18251.94922,18149.80078,18232.55078,NSEI,,
2023-01-04,18230.65039,18243,18020.59961,18042.94922,NSEI,,
2023-01-05,18101.94922,18120.30078,17892.59961,17992.15039,NSEI,,
2023-01-06,18008.05078,18047.40039,17795.55078,17859.44922,NSEI,,
2023-01-09,17952.55078,18141.40039,17936.15039,18101.19922,NSEI,,
2023-01-10,18121.30078,18127.59961,17856,17914.15039,NSEI,,
2023-01-11,17924.25,17976.34961,17824.34961,17895.69922,NSEI,,
2023-01-12,17920.84961,17945.80078,17761.65039,17858.19922,NSEI,,
2023-01-13,17867.5,17999.34961,17774.25,17956.59961,NSEI,,
2023-01-16,18033.15039,18049.65039,17853.65039,17894.84961,NSEI,,
2023-01-17,17922.80078,18072.05078,17886.94922,18053.30078,NSEI,,
2023-01-18,18074.30078,18183.75,18032.44922,18165.34961,NSEI,,
2023-01-19,18119.80078,18155.19922,18063.75,18107.84961,NSEI,,
2023-01-20,18115.59961,18145.44922,18016.19922,18027.65039,NSEI,,
2023-01-23,18118.44922,18162.59961,18063.44922,18118.55078,NSEI,,
2023-01-24,18183.94922,18201.25,18078.65039,18118.30078,NSEI,,
2023-01-25,18093.34961,18100.59961,17846.15039,17891.94922,NSEI,,
2023-01-27,17877.19922,17884.75,17493.55078,17604.34961,NSEI,,
2023-01-30,17541.94922,17709.15039,17405.55078,17648.94922,NSEI,,
2023-01-31,17731.44922,17735.69922,17537.55078,17662.15039,NSEI,,
2023-02-01,17811.59961,17972.19922,17353.40039,17616.30078,NSEI,,
2023-02-02,17517.09961,17653.90039,17445.94922,17610.40039,NSEI,,
2023-02-03,17721.75,17870.30078,17584.19922,17854.05078,NSEI,,
2023-02-06,17818.55078,17823.69922,17698.34961,17764.59961,NSEI,,
2023-02-07,17790.09961,17811.15039,17652.55078,17721.5,NSEI,,
2023-02-08,17750.30078,17898.69922,17744.15039,17871.69922,NSEI,,
2023-02-09,17885.5,17916.90039,17779.80078,17893.44922,NSEI,,
2023-02-10,17847.55078,17876.94922,17801,17856.5,NSEI,,
2023-02-13,17859.09961,17880.69922,17719.75,17770.90039,NSEI,,
2023-02-14,17840.34961,17954.55078,17800.05078,17929.84961,NSEI,,
2023-02-15,17896.59961,18034.09961,17853.80078,18015.84961,NSEI,,
2023-02-16,18094.75,18134.75,18000.65039,18035.84961,NSEI,,
2023-02-17,17974.84961,18034.25,17884.59961,17944.19922,NSEI,,
2023-02-20,17965.55078,18004.34961,17818.40039,17844.59961,NSEI,,
2023-02-21,17905.80078,17924.90039,17800.30078,17826.69922,NSEI,,
2023-02-22,17755.34961,17772.5,17529.44922,17554.30078,NSEI,,
