Date,CumulativeReturns
19-03-21,1.4299014386317515
22-03-21,1.4291644138574677
23-03-21,1.4367629095204653
24-03-21,1.411028794688712
25-03-21,1.3892563534941358
26-03-21,1.4069457995782104
30-03-21,1.439706272990413
31-03-21,1.4247323216554366
01-04-21,1.441864120725733
05-04-21,1.4196019402280642
06-04-21,1.4240340324300953
07-04-21,1.437179913352861
08-04-21,1.4424896735105581
09-04-21,1.4387122083033554
12-04-21,1.3878888521629134
13-04-21,1.4067033447764892
15-04-21,1.4141370468202143
16-04-21,1.4176671315139437
19-04-21,1.3926070604273597
20-04-21,1.3864923687545128
22-04-21,1.3971361345500795
23-04-21,1.390851630443564
26-04-21,1.4047831211734212
27-04-21,1.4210809145185646
28-04-21,1.4415925907441898
29-04-21,1.444536048286601
30-04-21,1.4189521419630673
03-05-21,1.4192480124670657
04-05-21,1.4058984132613397
05-05-21,1.4176671315139442
06-05-21,1.4280393673279672
07-05-21,1.4375775954771988
10-05-21,1.4491377647773738
11-05-21,1.4402542586652531
12-05-21,1.4252947973990469
14-05-21,1.4234812170556064
17-05-21,1.4472757875460525
18-05-21,1.4652125181314986
19-05-21,1.4576528530597257
20-05-21,1.4456173404527646
21-05-21,1.4717297225981525
24-05-21,1.4739021554445246
25-05-21,1.4749447110919265
26-05-21,1.4839640297159602
27-05-21,1.4874941144096898
28-05-21,1.4969790218989267
31-05-21,1.5112498552787303
01-06-21,1.5104788296128722
02-06-21,1.5106098124251348
03-06-21,1.5216802414523978
04-06-21,1.5197309426695074
07-06-21,1.5276253088365033
08-06-21,1.5265050920066525
09-06-21,1.5163462358145285
10-06-21,1.5262772223159835
11-06-21,1.5322512708074483
14-06-21,1.533463544816055
15-06-21,1.5390303448865261
16-06-21,1.5291672651259374
17-06-21,1.5217821481150196
18-06-21,1.5210013680075785
21-06-21,1.5271258141220088
22-06-21,1.5296715895400828
23-06-21,1.5213505601413906
24-06-21,1.531388188932654
25-06-21,1.5381671679694493
28-06-21,1.5337400005093509
29-06-21,1.5273149482637354
30-06-21,1.5247012661047952
01-07-21,1.520676516396221
02-07-21,1.5247691728456612
05-07-21,1.535645638031547
06-07-21,1.5340842669314108
07-07-21,1.5400389946846358
08-07-21,1.5253219882201507
09-07-21,1.5216269207924036
12-07-21,1.5218984507739473
13-07-21,1.5335120357763994
14-07-21,1.5375465408963755
15-07-21,1.544359520824745
16-07-21,1.5442819537147592
19-07-21,1.5276980452770197
20-07-21,1.5160310445722907
22-07-21,1.534646743644839
23-07-21,1.537750165106872
26-07-21,1.5346855742360632
27-07-21,1.5271209844223574
28-07-21,1.5235278226874123
29-07-21,1.5302244058843903
30-07-21,1.528730846482838
02-08-21,1.5405723952484223
03-08-21,1.5643911171465774
04-08-21,1.5768096336641795
05-08-21,1.5802815670284447
06-08-21,1.5748118439209446
09-08-21,1.5767563120343655
10-08-21,1.5788753291784607
11-08-21,1.5790838781308905
12-08-21,1.5870509807384026
13-08-21,1.603023827429906
16-08-21,1.6063164771061291
17-08-21,1.6113157816487758
18-08-21,1.6068788587772753
20-08-21,1.5954010862867363
23-08-21,1.599857329896476
24-08-21,1.612285600855661
25-08-21,1.6132603448044787
26-08-21,1.613478554126028
27-08-21,1.6201023058402078
30-08-21,1.6420058239195099
31-08-21,1.6615135859742118
01-09-21,1.6560875231575867
02-09-21,1.6714010062572553
03-09-21,1.6800759634169469
06-09-21,1.6853324969871128
07-09-21,1.6838097673634556
08-09-21,1.6829757606684832
09-09-21,1.6845032259193278
13-09-21,1.683150403771621
14-09-21,1.6855457815667296
15-09-21,1.6990698347608475
16-09-21,1.7097427707785189
17-09-21,1.7054416604189313
20-09-21,1.6871848138493146
21-09-21,1.7031964911320427
22-09-21,1.7017078564724226
23-09-21,1.7285038476898176
24-09-21,1.7314375507906459
27-09-21,1.7316218542629032
28-09-21,1.7212932797095741
29-09-21,1.717675967536739
30-09-21,1.7086420638016526
01-10-21,1.7002919582533191
04-10-21,1.7157314043810354
05-10-21,1.728440960733166
06-10-21,1.7113429724698792
07-10-21,1.7253422748983205
08-10-21,1.7355107914595638
11-10-21,1.7404326239345072
12-10-21,1.7448937922861798
13-10-21,1.7613613980649914
14-10-21,1.7785078772886225
18-10-21,1.7919398733039844
19-10-21,1.7862857516819446
20-10-21,1.771529914626235
21-10-21,1.7629470146453
22-10-21,1.7568178329036823
25-10-21,1.7578361430709122
26-10-21,1.7717045577293729
27-10-21,1.7661328329169694
28-10-21,1.731830403215333
29-10-21,1.7138305965584901
01-11-21,1.738851932096132
02-11-21,1.7349046544552613
03-11-21,1.7291099846941214
04-11-21,1.7376057522382335
08-11-21,1.7523227587027188
09-11-21,1.7499660223840892
10-11-21,1.747342585783566
11-11-21,1.7334160197956419
12-11-21,1.7556394647443683
15-11-21,1.756289167967083
16-11-21,1.745596911211172
17-11-21,1.735845492554787
18-11-21,1.722864500293576
22-11-21,1.689090546413794
23-11-21,1.6975084636607116
24-11-21,1.6889450735327611
25-11-21,1.7006992066743134
26-11-21,1.6512577478614001
29-11-21,1.6539247506803347
30-11-21,1.647063279791621
01-12-21,1.664878972090952
02-12-21,1.6876454779725854
03-12-21,1.667768919858623
06-12-21,1.6401824881646676
07-12-21,1.6658292814448523
08-12-21,1.6942499089485257
09-12-21,1.6988177195900067
10-12-21,1.6982795833990325
13-12-21,1.6844062439986394
14-12-21,1.6802021155597404
15-12-21,1.670164486768477
16-12-21,1.6727829986270675
17-12-21,1.647257243632998
20-12-21,1.6112769510575518
21-12-21,1.62646920675636
22-12-21,1.6443720314925143
23-12-21,1.6557335013241254
24-12-21,1.649056333907669
27-12-21,1.657057342364473
28-12-21,1.6713136847056875
29-12-21,1.6694079521412089
30-12-21,1.6684720387836152
31-12-21,1.6830291763707608
03-01-22,1.7093741638340048
04-01-22,1.7267873433395293
05-01-22,1.7384251738221537
06-01-22,1.721031504169614
07-01-22,1.727509783002761
10-01-22,1.7459946883777924
11-01-22,1.7510813144720077
12-01-22,1.7662686454288832
13-01-22,1.7706765871930243
14-01-22,1.7704776986097146
17-01-22,1.7755546643348104
18-01-22,1.7566384541733588
19-01-22,1.739700523902157
20-01-22,1.7221079656663079
21-01-22,1.7085450818809653
24-01-22,1.6631526182567988
25-01-22,1.6756487009145673
27-01-22,1.6593752480918784
28-01-22,1.658579882873385
31-01-22,1.6816519196281368
01-02-22,1.7046366348313193
02-02-22,1.724338549842144
03-02-22,1.7030218480289057
04-02-22,1.6987644930024755
07-02-22,1.6694079521412089
08-02-22,1.6745625790487533
09-02-22,1.6936729421663272
10-02-22,1.7074491105312863
11-02-22,1.685036626483115
14-02-22,1.6334471694187473
15-02-22,1.6828738540058625
16-02-22,1.6799401509050342
17-02-22,1.6782333069238653
18-02-22,1.675488832037227
21-02-22,1.6687340034383213
22-02-22,1.6576343091466714
23-02-22,1.6548267581886367
24-02-22,1.5757574176476585
25-02-22,1.6155636654208325
28-02-22,1.6287047156741288
02-03-22,1.6104768502118716
03-03-22,1.6000126522613753
04-03-22,1.5755052074345353
07-03-22,1.5384387929932755
08-03-22,1.5530151572461972
09-03-22,1.5852033995033887
10-03-22,1.6094053134571105
11-03-22,1.6128529072687405
14-03-22,1.6362111541583706
15-03-22,1.6160097444330506
16-03-22,1.6463020095371652
17-03-22,1.6765313876846286
21-03-22,1.6600976877551092
22-03-22,1.6792904476823192
23-03-22,1.672516298345174
24-03-22,1.6702953745384577
25-03-22,1.6635308855704325
28-03-22,1.6702226380979412
29-03-22,1.680240946150965
30-03-22,1.697013893688149
31-03-22,1.6937649993450832
01-04-22,1.7137141047848166
04-04-22,1.7508534447813382
05-04-22,1.7415431803952388
06-04-22,1.7270201377721306
07-04-22,1.7107175147273372
08-04-22,1.7247603833741896
11-04-22,1.7141505234279146
12-04-22,1.7001222398921145
13-04-22,1.6948221401035366
18-04-22,1.6655336000555991
19-04-22,1.6446824871075643
20-04-22,1.6619356086210038
21-04-22,1.6867677159444558
22-04-22,1.6653686173215814
25-04-22,1.6442265586114808
26-04-22,1.6681666970252422
27-04-22,1.6524167952824749
28-04-22,1.6724581470157098
29-04-22,1.6586382233175936
02-05-22,1.655394064601715
04-05-22,1.6174256426521536
05-05-22,1.6179154769975286
06-05-22,1.5915945458997114
09-05-22,1.5809846859534367
10-05-22,1.5749912226512695
11-05-22,1.5679163721406566
12-05-22,1.533090202244353
13-05-22,1.5305832574175036
16-05-22,1.5364166636974048
17-05-22,1.5768581246245237
18-05-22,1.5750154681314417
19-05-22,1.5332260147562662
20-05-22,1.5775225070307544
23-05-22,1.5725327687847643
24-05-22,1.5638480562136712
25-05-22,1.5542128461437512
26-05-22,1.5682122426446554
27-05-22,1.5858920283596103
30-05-22,1.615854611182898
31-05-22,1.6084015884009335
01-06-22,1.6024080300564838
02-06-22,1.612615377208952
03-06-22,1.6083773429207613
06-06-22,1.6069468595906053
07-06-22,1.5920891158722745
08-06-22,1.5862605402618426
09-06-22,1.5980777494747918
10-06-22,1.5712816641849339
13-06-22,1.5298316475321683
14-06-22,1.525729236641145
15-06-22,1.5218548845555364
16-06-22,1.4897004531053544
17-06-22,1.483193004050103
20-06-22,1.4886870676800577
21-06-22,1.5166808428372893
22-06-22,1.4948114197220248
23-06-22,1.5087138343022402
24-06-22,1.5225434183694762
27-06-22,1.5354225990103485
28-06-22,1.5371828586937946
29-06-22,1.5322270253272774
30-06-22,1.5303989539452476
01-07-22,1.527664045355266
04-07-22,1.5357426199522366
05-07-22,1.5333665628953674
06-07-22,1.550721496998965
07-07-22,1.5645996660990082
08-07-22,1.5731049048974943
11-07-22,1.5726588258852763
12-07-22,1.5573647585661294
13-07-22,1.5484764217845393
14-07-22,1.5457609280052602
15-07-22,1.5564822609108127
18-07-22,1.5787201959283097
19-07-22,1.5847379056804682
20-07-22,1.6022237265842272
21-07-22,1.6104090385132883
22-07-22,1.6214842982100208
25-07-22,1.612906322971018
26-07-22,1.5986353955187511
27-07-22,1.6139538033603522
28-07-22,1.6418650866656652
29-07-22,1.6640400406540474
01-08-22,1.681671429481121
02-08-22,1.6821949805610426
03-08-22,1.68633622204329
04-08-22,1.6857397454081067
05-08-22,1.6872429651787788
08-08-22,1.6996178204356869
10-08-22,1.7005537337932803
11-08-22,1.7126037374388308
12-08-22,1.7164006174567359
16-08-22,1.7287269817532995
17-08-22,1.7402678303152352
18-08-22,1.74145585884367
19-08-22,1.7222485138054076
